用户编号：12
当前时间：2011-09-16T16:25:45:650
任务号:2,任务：任务2
小组号:2,小组:第2组
视频名称:憨豆先生1
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:25:57:127
ComprehensionDown:2011-09-16T16:29:47:490
第0题的答案是：1,你选择的答案是：1
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (171,699) 2011-09-16T16:26:09:782
MOVE: (167,699) 2011-09-16T16:26:09:790
MOVE: (162,698) 2011-09-16T16:26:09:798
MOVE: (159,698) 2011-09-16T16:26:09:806
MOVE: (156,698) 2011-09-16T16:26:09:814
MOVE: (155,698) 2011-09-16T16:26:09:822
MOVE: (153,698) 2011-09-16T16:26:09:830
MOVE: (151,698) 2011-09-16T16:26:09:839
MOVE: (151,697) 2011-09-16T16:26:09:855
MOVE: (149,696) 2011-09-16T16:26:10:71
MOVE: (144,695) 2011-09-16T16:26:10:79
MOVE: (140,693) 2011-09-16T16:26:10:87
MOVE: (137,693) 2011-09-16T16:26:10:95
MOVE: (134,692) 2011-09-16T16:26:10:102
MOVE: (131,692) 2011-09-16T16:26:10:111
MOVE: (129,692) 2011-09-16T16:26:10:118
MOVE: (128,692) 2011-09-16T16:26:10:134
MOVE: (127,691) 2011-09-16T16:26:10:671
MOVE: (125,691) 2011-09-16T16:26:10:678
MOVE: (123,690) 2011-09-16T16:26:10:686
MOVE: (118,688) 2011-09-16T16:26:10:695
MOVE: (115,687) 2011-09-16T16:26:10:702
MOVE: (111,686) 2011-09-16T16:26:10:710
MOVE: (107,685) 2011-09-16T16:26:10:718
MOVE: (104,684) 2011-09-16T16:26:10:726
MOVE: (101,683) 2011-09-16T16:26:10:734
MOVE: (100,683) 2011-09-16T16:26:10:742
MOVE: (98,682) 2011-09-16T16:26:10:750
MOVE: (97,682) 2011-09-16T16:26:10:766
MOVE: (97,681) 2011-09-16T16:26:10:863
MOVE: (95,680) 2011-09-16T16:26:10:879
MOVE: (95,679) 2011-09-16T16:26:10:886
MOVE: (95,678) 2011-09-16T16:26:10:895
MOVE: (94,678) 2011-09-16T16:26:10:902
MOVE: (93,676) 2011-09-16T16:26:10:910
MOVE: (93,675) 2011-09-16T16:26:10:918
MOVE: (92,672) 2011-09-16T16:26:10:926
MOVE: (91,669) 2011-09-16T16:26:10:934
MOVE: (89,666) 2011-09-16T16:26:10:942
MOVE: (88,663) 2011-09-16T16:26:10:950
MOVE: (87,658) 2011-09-16T16:26:10:958
MOVE: (85,656) 2011-09-16T16:26:10:966
MOVE: (84,653) 2011-09-16T16:26:10:974
MOVE: (82,649) 2011-09-16T16:26:10:982
MOVE: (80,646) 2011-09-16T16:26:10:990
MOVE: (79,643) 2011-09-16T16:26:10:998
MOVE: (78,639) 2011-09-16T16:26:11:6
MOVE: (76,637) 2011-09-16T16:26:11:14
MOVE: (75,635) 2011-09-16T16:26:11:30
MOVE: (74,635) 2011-09-16T16:26:11:38
MOVE: (74,634) 2011-09-16T16:26:11:46
MOVE: (74,633) 2011-09-16T16:26:11:150
MOVE: (74,632) 2011-09-16T16:26:11:158
MOVE: (74,631) 2011-09-16T16:26:11:367
MOVE: (76,628) 2011-09-16T16:26:11:374
MOVE: (78,627) 2011-09-16T16:26:11:383
MOVE: (80,625) 2011-09-16T16:26:11:390
MOVE: (82,623) 2011-09-16T16:26:11:399
MOVE: (84,621) 2011-09-16T16:26:11:407
MOVE: (87,620) 2011-09-16T16:26:11:415
MOVE: (89,616) 2011-09-16T16:26:11:422
MOVE: (91,615) 2011-09-16T16:26:11:430
MOVE: (92,613) 2011-09-16T16:26:11:438
MOVE: (94,610) 2011-09-16T16:26:11:446
MOVE: (94,607) 2011-09-16T16:26:11:454
MOVE: (96,604) 2011-09-16T16:26:11:465
MOVE: (97,601) 2011-09-16T16:26:11:470
MOVE: (99,596) 2011-09-16T16:26:11:479
MOVE: (102,591) 2011-09-16T16:26:11:486
MOVE: (104,585) 2011-09-16T16:26:11:494
MOVE: (106,579) 2011-09-16T16:26:11:502
MOVE: (107,575) 2011-09-16T16:26:11:511
MOVE: (109,569) 2011-09-16T16:26:11:518
MOVE: (111,563) 2011-09-16T16:26:11:526
MOVE: (113,557) 2011-09-16T16:26:11:534
MOVE: (115,551) 2011-09-16T16:26:11:543
MOVE: (116,547) 2011-09-16T16:26:11:550
MOVE: (118,542) 2011-09-16T16:26:11:558
MOVE: (119,539) 2011-09-16T16:26:11:566
MOVE: (122,534) 2011-09-16T16:26:11:575
