用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (601,706) 2011-09-16T16:14:03:420
MOVE: (596,707) 2011-09-16T16:14:03:428
MOVE: (591,708) 2011-09-16T16:14:03:437
MOVE: (586,709) 2011-09-16T16:14:03:444
MOVE: (581,709) 2011-09-16T16:14:03:452
MOVE: (575,710) 2011-09-16T16:14:03:460
MOVE: (571,711) 2011-09-16T16:14:03:468
MOVE: (565,712) 2011-09-16T16:14:03:476
MOVE: (559,713) 2011-09-16T16:14:03:485
MOVE: (556,714) 2011-09-16T16:14:03:492
MOVE: (551,715) 2011-09-16T16:14:03:500
MOVE: (547,716) 2011-09-16T16:14:03:508
MOVE: (545,716) 2011-09-16T16:14:03:516
MOVE: (541,717) 2011-09-16T16:14:03:524
MOVE: (536,718) 2011-09-16T16:14:03:532
MOVE: (532,718) 2011-09-16T16:14:03:540
MOVE: (527,719) 2011-09-16T16:14:03:548
MOVE: (523,719) 2011-09-16T16:14:03:556
MOVE: (519,720) 2011-09-16T16:14:03:565
MOVE: (516,721) 2011-09-16T16:14:03:572
MOVE: (511,721) 2011-09-16T16:14:03:580
MOVE: (509,721) 2011-09-16T16:14:03:588
MOVE: (506,721) 2011-09-16T16:14:03:596
MOVE: (504,722) 2011-09-16T16:14:03:604
MOVE: (502,723) 2011-09-16T16:14:03:612
MOVE: (499,723) 2011-09-16T16:14:03:620
MOVE: (496,723) 2011-09-16T16:14:03:628
MOVE: (494,724) 2011-09-16T16:14:03:636
MOVE: (492,724) 2011-09-16T16:14:03:644
MOVE: (490,724) 2011-09-16T16:14:03:652
MOVE: (487,724) 2011-09-16T16:14:03:660
MOVE: (485,724) 2011-09-16T16:14:03:668
MOVE: (484,724) 2011-09-16T16:14:03:676
MOVE: (482,725) 2011-09-16T16:14:03:684
MOVE: (480,725) 2011-09-16T16:14:03:692
MOVE: (477,725) 2011-09-16T16:14:03:701
MOVE: (475,726) 2011-09-16T16:14:03:708
MOVE: (472,726) 2011-09-16T16:14:03:716
MOVE: (468,726) 2011-09-16T16:14:03:724
MOVE: (465,727) 2011-09-16T16:14:03:733
MOVE: (461,727) 2011-09-16T16:14:03:740
MOVE: (456,727) 2011-09-16T16:14:03:749
MOVE: (453,727) 2011-09-16T16:14:03:756
MOVE: (450,728) 2011-09-16T16:14:03:764
MOVE: (447,728) 2011-09-16T16:14:03:772
MOVE: (445,728) 2011-09-16T16:14:03:780
MOVE: (442,728) 2011-09-16T16:14:03:788
MOVE: (440,728) 2011-09-16T16:14:03:796
MOVE: (436,729) 2011-09-16T16:14:03:804
MOVE: (433,729) 2011-09-16T16:14:03:812
MOVE: (429,729) 2011-09-16T16:14:03:820
MOVE: (426,729) 2011-09-16T16:14:03:828
MOVE: (422,730) 2011-09-16T16:14:03:836
MOVE: (418,730) 2011-09-16T16:14:03:844
